ID,Datetime,Count,Car Count,Bike Count,Bus Count,Truck Count,Traffic Situation
51,03-01-2024 02:00,8,8,0,0,0,normal
52,03-01-2024 03:00,6,2,0,4,0,normal
53,03-01-2024 04:00,6,4,2,0,0,normal
54,03-01-2024 05:00,4,1,0,2,1,normal
55,03-01-2024 06:00,6,1,0,0,5,normal
56,03-01-2024 07:00,10,2,6,1,1,normal
57,03-01-2024 08:00,12,12,0,0,0,normal
58,03-01-2024 09:00,10,4,4,1,1,normal
59,03-01-2024 10:00,20,3,17,0,0,normal
60,03-01-2024 11:00,14,4,9,1,0,normal
61,03-01-2024 12:00,14,14,0,0,0,normal
62,03-01-2024 13:00,10,1,8,1,0,normal
63,03-01-2024 14:00,4,2,0,1,1,normal
64,03-01-2024 15:00,18,2,10,3,3,normal
65,03-01-2024 16:00,8,3,2,0,3,normal
66,03-01-2024 17:00,12,6,5,1,0,normal
67,03-01-2024 18:00,18,3,11,3,1,normal
68,03-01-2024 19:00,10,1,3,2,4,normal
69,03-01-2024 20:00,16,3,7,4,2,normal
70,03-01-2024 21:00,22,2,1,3,16,normal
71,03-01-2024 22:00,12,5,3,3,1,normal
72,03-01-2024 23:00,12,5,1,3,3,normal
73,04-01-2024 00:00,16,5,9,0,2,normal
74,04-01-2024 01:00,16,7,5,3,1,normal
75,04-01-2024 02:00,12,12,0,0,0,normal
76,04-01-2024 03:00,8,8,0,0,0,normal
77,04-01-2024 04:00,8,3,1,1,3,normal
78,04-01-2024 05:00,16,7,4,2,3,normal
79,04-01-2024 06:00,4,2,2,0,0,normal
80,04-01-2024 07:00,14,5,0,5,4,normal
81,04-01-2024 08:00,10,10,0,0,0,normal
82,04-01-2024 09:00,16,5,3,5,3,normal
83,04-01-2024 10:00,26,24,0,2,0,normal
84,04-01-2024 11:00,30,25,1,2,2,normal
85,04-01-2024 12:00,24,5,9,7,3,normal
86,04-01-2024 13:00,10,2,4,0,4,normal
87,04-01-2024 14:00,20,14,0,6,0,normal
88,04-01-2024 15:00,12,11,0,0,1,normal
89,04-01-2024 16:00,22,17,3,1,1,normal
90,04-01-2024 17:00,16,4,5,7,0,normal
91,04-01-2024 18:00,20,12,7,1,0,normal
92,04-01-2024 19:00,68,38,3,27,0,normal
93,04-01-2024 20:00,62,22,9,12,19,normal
94,04-01-2024 21:00,50,4,41,1,4,normal
95,04-01-2024 22:00,36,13,23,0,0,normal
96,04-01-2024 23:00,48,44,0,4,0,normal
97,05-01-2024 00:00,38,16,12,3,7,normal
98,05-01-2024 01:00,30,23,0,2,5,normal
99,05-01-2024 02:00,20,4,8,2,6,normal
100,05-01-2024 03:00,10,6,3,0,1,normal
101,05-01-2024 04:00,14,9,3,1,1,normal
102,05-01-2024 05:00,8,0,4,0,4,normal
103,05-01-2024 06:00,10,1,2,6,1,normal
104,05-01-2024 07:00,14,13,1,0,0,normal
105,05-01-2024 08:00,6,6,0,0,0,normal
106,05-01-2024 09:00,20,0,14,3,3,normal
107,05-01-2024 10:00,34,4,18,5,7,normal
108,05-01-2024 11:00,14,2,4,0,8,normal
109,05-01-2024 12:00,8,8,0,0,0,normal
110,05-01-2024 13:00,16,1,1,2,12,normal
111,05-01-2024 14:00,10,6,0,2,2,normal
112,05-01-2024 15:00,12,8,2,0,2,normal
113,05-01-2024 16:00,8,8,0,0,0,normal
114,05-01-2024 17:00,10,1,1,7,1,normal
115,05-01-2024 18:00,8,4,0,4,0,normal
116,05-01-2024 19:00,12,8,0,4,0,normal
117,05-01-2024 20:00,14,1,5,0,8,normal
118,05-01-2024 21:00,6,6,0,0,0,normal
119,05-01-2024 22:00,14,0,13,0,1,normal
120,05-01-2024 23:00,16,9,5,1,1,normal
121,06-01-2024 00:00,14,13,0,0,1,normal
122,06-01-2024 01:00,2,2,0,0,0,normal
123,06-01-2024 02:00,2,2,0,0,0,normal
124,06-01-2024 03:00,6,0,2,4,0,normal
125,06-01-2024 04:00,8,8,0,0,0,normal
126,06-01-2024 05:00,12,9,1,0,2,normal
127,06-01-2024 06:00,4,0,0,3,1,normal
128,06-01-2024 07:00,4,2,2,0,0,normal
129,06-01-2024 08:00,4,3,1,0,0,normal
130,06-01-2024 09:00,10,4,3,1,2,normal
131,06-01-2024 10:00,4,3,1,0,0,normal
132,06-01-2024 11:00,4,1,2,0,1,normal
133,06-01-2024 12:00,8,3,2,2,1,normal
134,06-01-2024 13:00,4,3,0,1,0,normal
135,06-01-2024 14:00,8,3,3,0,2,normal
136,06-01-2024 15:00,10,2,4,4,0,normal
137,06-01-2024 16:00,6,6,0,0,0,normal
138,06-01-2024 17:00,8,4,3,0,1,normal
139,06-01-2024 18:00,10,5,4,1,0,normal
140,06-01-2024 19:00,12,10,2,0,0,normal
141,06-01-2024 20:00,12,5,0,1,6,normal
142,06-01-2024 21:00,10,7,3,0,0,normal
143,06-01-2024 22:00,8,5,1,1,1,normal
144,06-01-2024 23:00,8,3,5,0,0,normal
145,07-01-2024 00:00,14,10,2,2,0,normal
146,07-01-2024 01:00,8,8,0,0,0,normal
147,07-01-2024 02:00,8,0,1,2,5,normal
148,07-01-2024 03:00,12,9,0,2,1,normal
149,07-01-2024 04:00,8,6,0,1,1,normal
150,07-01-2024 05:00,8,1,2,0,5,normal
151,07-01-2024 06:00,6,4,2,0,0,normal
152,07-01-2024 07:00,12,11,0,0,1,normal
153,07-01-2024 08:00,10,2,8,0,0,normal
154,07-01-2024 09:00,12,6,2,1,3,normal
155,07-01-2024 10:00,14,5,2,1,6,normal
156,07-01-2024 11:00,18,7,2,4,5,normal
157,07-01-2024 12:00,10,4,0,2,4,normal
158,07-01-2024 13:00,14,8,1,1,4,normal
159,07-01-2024 14:00,12,6,6,0,0,normal
160,07-01-2024 15:00,46,11,29,0,6,normal
161,07-01-2024 16:00,26,13,7,4,2,normal
162,07-01-2024 17:00,22,4,16,2,0,normal
163,07-01-2024 18:00,34,21,5,5,3,normal
164,07-01-2024 19:00,50,13,4,12,21,normal
165,07-01-2024 20:00,48,23,0,4,21,normal
166,07-01-2024 21:00,32,17,12,3,0,normal
167,07-01-2024 22:00,22,3,4,3,12,normal
168,07-01-2024 23:00,42,16,1,22,3,normal
169,08-01-2024 00:00,24,0,23,1,0,normal
170,08-01-2024 01:00,20,5,14,0,1,normal
171,08-01-2024 02:00,12,10,0,2,0,normal
172,08-01-2024 03:00,6,6,0,0,0,normal
173,08-01-2024 04:00,8,3,3,0,2,normal
174,08-01-2024 05:00,6,5,0,0,1,normal
175,08-01-2024 06:00,10,10,0,0,0,normal
176,08-01-2024 07:00,12,0,12,0,0,normal
177,08-01-2024 08:00,14,11,2,1,0,normal
178,08-01-2024 09:00,14,2,9,2,1,normal
179,08-01-2024 10:00,24,2,7,1,14,normal
180,08-01-2024 11:00,16,13,0,3,0,normal
181,08-01-2024 12:00,16,6,4,3,3,normal
182,08-01-2024 13:00,12,7,3,2,0,normal
183,08-01-2024 14:00,26,18,8,0,0,normal
184,08-01-2024 15:00,12,6,6,0,0,normal
185,08-01-2024 16:00,14,12,2,0,0,normal
186,08-01-2024 17:00,14,14,0,0,0,normal
187,08-01-2024 18:00,24,6,1,1,16,normal
188,08-01-2024 19:00,28,16,12,0,0,normal
189,08-01-2024 20:00,12,8,4,0,0,normal
190,08-01-2024 21:00,12,0,3,0,9,normal
191,08-01-2024 22:00,16,9,1,6,0,normal
192,08-01-2024 23:00,10,6,3,0,1,normal
193,09-01-2024 00:00,22,0,16,3,3,normal
194,09-01-2024 01:00,8,0,8,0,0,normal
195,09-01-2024 02:00,8,2,4,1,1,normal
196,09-01-2024 03:00,10,7,1,2,0,normal
197,09-01-2024 04:00,12,7,2,1,2,normal
198,09-01-2024 05:00,10,8,2,0,0,normal
199,09-01-2024 06:00,4,2,1,1,0,normal
200,09-01-2024 07:00,8,3,4,1,0,normal
201,09-01-2024 08:00,4,1,2,0,1,normal
202,09-01-2024 09:00,12,2,5,2,3,normal
203,09-01-2024 10:00,14,9,2,1,2,normal
204,09-01-2024 11:00,8,8,0,0,0,normal
205,09-01-2024 12:00,4,4,0,0,0,normal
206,09-01-2024 13:00,10,4,1,2,3,normal
207,09-01-2024 14:00,20,17,3,0,0,normal
208,09-01-2024 15:00,6,3,2,1,0,normal
209,09-01-2024 16:00,10,8,2,0,0,normal
210,09-01-2024 17:00,8,7,1,0,0,normal
211,09-01-2024 18:00,12,7,4,0,1,normal
212,09-01-2024 19:00,6,1,4,1,0,normal
213,09-01-2024 20:00,10,7,0,0,3,normal
214,09-01-2024 21:00,10,3,6,0,1,normal
215,09-01-2024 22:00,18,6,3,0,9,normal
216,09-01-2024 23:00,4,0,4,0,0,normal
217,10-01-2024 00:00,8,3,1,4,0,normal
218,10-01-2024 01:00,8,1,2,5,0,normal
219,10-01-2024 02:00,8,2,4,1,1,normal
220,10-01-2024 03:00,6,0,4,2,0,normal
221,10-01-2024 04:00,6,3,3,0,0,normal
222,10-01-2024 05:00,4,3,0,0,1,normal
223,10-01-2024 06:00,4,1,1,1,1,normal
224,10-01-2024 07:00,6,4,1,1,0,normal
225,10-01-2024 08:00,8,2,2,1,3,normal
226,10-01-2024 09:00,10,4,4,0,2,normal
227,10-01-2024 10:00,16,10,6,0,0,normal
228,10-01-2024 11:00,10,0,9,0,1,normal
229,10-01-2024 12:00,8,3,2,3,0,normal
230,10-01-2024 13:00,6,3,3,0,0,normal
231,10-01-2024 14:00,18,13,3,1,1,normal
232,10-01-2024 15:00,6,1,1,1,3,normal
233,10-01-2024 16:00,4,2,1,0,1,normal
234,10-01-2024 17:00,12,3,2,1,6,normal
235,10-01-2024 18:00,14,6,1,5,2,normal
236,10-01-2024 19:00,18,8,10,0,0,normal
237,10-01-2024 20:00,2,2,0,0,0,normal
238,10-01-2024 21:00,16,2,14,0,0,normal
239,10-01-2024 22:00,12,8,4,0,0,normal
240,10-01-2024 23:00,10,0,0,10,0,normal
241,11-01-2024 00:00,10,9,0,1,0,normal
242,11-01-2024 01:00,8,5,2,1,0,normal
243,11-01-2024 02:00,8,0,2,1,5,normal
244,11-01-2024 03:00,8,7,0,0,1,normal
245,11-01-2024 04:00,6,6,0,0,0,normal
246,11-01-2024 05:00,6,6,0,0,0,normal
247,11-01-2024 06:00,8,7,0,0,1,normal
248,11-01-2024 07:00,12,8,3,0,1,normal
249,11-01-2024 08:00,8,1,7,0,0,normal
250,11-01-2024 09:00,20,1,13,2,4,normal
251,11-01-2024 10:00,40,33,1,0,6,normal
252,11-01-2024 11:00,28,18,8,0,2,normal
253,11-01-2024 12:00,26,3,1,3,19,normal
254,11-01-2024 13:00,14,1,3,9,1,normal
255,11-01-2024 14:00,18,9,6,2,1,normal
256,11-01-2024 15:00,10,1,9,0,0,normal
257,11-01-2024 16:00,16,1,8,4,3,normal
258,11-01-2024 17:00,12,1,9,2,0,normal
259,11-01-2024 18:00,16,14,2,0,0,normal
260,11-01-2024 19:00,10,8,2,0,0,normal
261,11-01-2024 20:00,16,3,7,1,5,normal
262,11-01-2024 21:00,18,2,6,5,5,normal
263,11-01-2024 22:00,16,6,6,4,0,normal
264,11-01-2024 23:00,10,4,0,1,5,normal
265,12-01-2024 00:00,28,10,7,6,5,normal
266,12-01-2024 01:00,22,13,0,2,7,normal
267,12-01-2024 02:00,16,16,0,0,0,normal
268,12-01-2024 03:00,4,2,0,2,0,normal
269,12-01-2024 04:00,18,2,14,0,2,normal
270,12-01-2024 05:00,8,7,0,0,1,normal
271,12-01-2024 06:00,2,2,0,0,0,normal
272,12-01-2024 07:00,8,5,1,1,1,normal
273,12-01-2024 08:00,6,3,3,0,0,normal
274,12-01-2024 09:00,6,3,1,1,1,normal
275,12-01-2024 10:00,4,2,1,0,1,normal
276,12-01-2024 11:00,10,5,3,1,1,normal
277,12-01-2024 12:00,8,8,0,0,0,normal
278,12-01-2024 13:00,4,3,1,0,0,normal
279,12-01-2024 14:00,6,1,4,0,1,normal
280,12-01-2024 15:00,14,1,3,2,8,normal
281,12-01-2024 16:00,6,3,2,0,1,normal
282,12-01-2024 17:00,10,9,0,0,1,normal
283,12-01-2024 18:00,6,5,1,0,0,normal
284,12-01-2024 19:00,10,1,1,7,1,normal
285,12-01-2024 20:00,8,2,5,0,1,normal
286,12-01-2024 21:00,6,5,0,1,0,normal
287,12-01-2024 22:00,8,2,5,1,0,normal
288,12-01-2024 23:00,4,0,0,0,4,normal
289,13-01-2024 00:00,18,7,11,0,0,normal
290,13-01-2024 01:00,6,6,0,0,0,normal
291,13-01-2024 02:00,6,0,5,0,1,normal
292,13-01-2024 03:00,4,1,0,2,1,normal
293,13-01-2024 04:00,2,0,2,0,0,normal
294,13-01-2024 05:00,4,0,4,0,0,normal
295,13-01-2024 06:00,4,4,0,0,0,normal
296,13-01-2024 07:00,8,7,0,0,1,normal
297,13-01-2024 08:00,4,0,0,4,0,normal
298,13-01-2024 09:00,6,0,5,0,1,normal
299,13-01-2024 10:00,8,4,1,3,0,normal
300,13-01-2024 11:00,4,0,0,0,4,normal
301,13-01-2024 12:00,4,2,1,0,1,normal
302,13-01-2024 13:00,10,7,0,1,2,normal
303,13-01-2024 14:00,8,8,0,0,0,normal
304,13-01-2024 15:00,10,4,0,2,4,normal
305,13-01-2024 16:00,8,2,2,4,0,normal
306,13-01-2024 17:00,4,1,3,0,0,normal
307,13-01-2024 18:00,8,1,1,6,0,normal
308,13-01-2024 19:00,6,5,1,0,0,normal
309,13-01-2024 20:00,8,6,2,0,0,normal
310,13-01-2024 21:00,8,2,2,2,2,normal
311,13-01-2024 22:00,14,2,4,3,5,normal
312,13-01-2024 23:00,12,9,1,1,1,normal
313,14-01-2024 00:00,16,7,2,2,5,normal
314,14-01-2024 01:00,12,7,1,2,2,normal
315,14-01-2024 02:00,6,5,0,0,1,normal
316,14-01-2024 03:00,6,2,2,0,2,normal
317,14-01-2024 04:00,4,3,1,0,0,normal
318,14-01-2024 05:00,2,1,1,0,0,normal
319,14-01-2024 06:00,8,5,1,1,1,normal
320,14-01-2024 07:00,8,1,3,2,2,normal
321,14-01-2024 08:00,12,3,9,0,0,normal
322,14-01-2024 09:00,4,2,1,0,1,normal
323,14-01-2024 10:00,12,5,6,1,0,normal
324,14-01-2024 11:00,2,2,0,0,0,normal
325,14-01-2024 12:00,10,7,2,0,1,normal
326,14-01-2024 13:00,8,4,0,3,1,normal
327,14-01-2024 14:00,12,8,1,2,1,normal
328,14-01-2024 15:00,16,2,5,6,3,normal
329,14-01-2024 16:00,6,1,1,3,1,normal
330,14-01-2024 17:00,6,4,1,1,0,normal
331,14-01-2024 18:00,12,5,7,0,0,normal
332,14-01-2024 19:00,12,12,0,0,0,normal
333,14-01-2024 20:00,16,13,2,0,1,normal
334,14-01-2024 21:00,32,7,3,11,11,normal
335,14-01-2024 22:00,18,10,0,5,3,normal
336,14-01-2024 23:00,22,13,7,2,0,normal
337,15-01-2024 00:00,36,18,9,1,8,normal
338,15-01-2024 01:00,12,1,10,1,0,normal
339,15-01-2024 02:00,10,4,0,1,5,normal
340,15-01-2024 03:00,18,4,10,0,4,normal
341,15-01-2024 04:00,20,6,11,1,2,normal
342,15-01-2024 05:00,14,0,8,1,5,normal
343,15-01-2024 06:00,4,0,0,1,3,normal
344,15-01-2024 07:00,14,14,0,0,0,normal
345,15-01-2024 08:00,8,7,0,1,0,normal
346,15-01-2024 09:00,32,27,3,2,0,normal
347,15-01-2024 10:00,34,20,10,0,4,normal
348,15-01-2024 11:00,36,0,22,11,3,normal
349,15-01-2024 12:00,46,26,2,17,1,normal
350,15-01-2024 13:00,30,22,0,1,7,normal
351,15-01-2024 14:00,34,29,5,0,0,normal
352,15-01-2024 15:00,28,1,10,17,0,normal
353,15-01-2024 16:00,22,12,5,3,2,normal
354,15-01-2024 17:00,24,20,2,1,1,normal
355,15-01-2024 18:00,36,21,1,8,6,normal
356,15-01-2024 19:00,64,30,1,33,0,normal
357,15-01-2024 20:00,24,4,6,4,10,normal
358,15-01-2024 21:00,26,12,11,0,3,normal
359,15-01-2024 22:00,48,22,11,7,8,normal
360,15-01-2024 23:00,42,8,1,32,1,normal
361,16-01-2024 00:00,40,37,1,2,0,normal
362,16-01-2024 01:00,50,2,41,6,1,normal
363,16-01-2024 02:00,38,10,16,12,0,normal
364,16-01-2024 03:00,24,9,12,1,2,normal
365,16-01-2024 04:00,20,12,4,1,3,normal
366,16-01-2024 05:00,14,12,1,1,0,normal
367,16-01-2024 06:00,16,15,1,0,0,normal
368,16-01-2024 07:00,16,0,4,1,11,normal
369,16-01-2024 08:00,22,14,1,4,3,normal
370,16-01-2024 09:00,36,3,19,8,6,normal
371,16-01-2024 10:00,18,17,0,0,1,normal
372,16-01-2024 11:00,20,9,9,1,1,normal
373,16-01-2024 12:00,14,4,1,4,5,normal
374,16-01-2024 13:00,32,5,19,1,7,normal
375,16-01-2024 14:00,40,2,0,20,18,normal
376,16-01-2024 15:00,30,8,2,11,9,normal
377,16-01-2024 16:00,36,33,3,0,0,normal
378,16-01-2024 17:00,22,3,15,2,2,normal
379,16-01-2024 18:00,28,6,7,13,2,normal
380,16-01-2024 19:00,20,3,14,1,2,normal
381,16-01-2024 20:00,22,5,9,1,7,normal
382,16-01-2024 21:00,26,7,14,1,4,normal
383,16-01-2024 22:00,26,7,18,0,1,normal
384,16-01-2024 23:00,16,2,13,0,1,normal
385,17-01-2024 00:00,14,8,0,0,6,normal
386,17-01-2024 01:00,16,6,3,5,2,normal
387,17-01-2024 02:00,24,8,4,0,12,normal
388,17-01-2024 03:00,10,1,8,1,0,normal
389,17-01-2024 04:00,8,0,8,0,0,normal
390,17-01-2024 05:00,8,8,0,0,0,normal
391,17-01-2024 06:00,10,3,4,3,0,normal
392,17-01-2024 07:00,12,0,11,0,1,normal
393,17-01-2024 08:00,26,14,9,1,2,normal
394,17-01-2024 09:00,20,10,2,4,4,normal
395,17-01-2024 10:00,44,1,34,5,4,normal
396,17-01-2024 11:00,34,17,1,5,11,normal
397,17-01-2024 12:00,48,6,40,1,1,normal
398,17-01-2024 13:00,22,21,0,1,0,normal
399,17-01-2024 14:00,28,6,18,4,0,normal
400,17-01-2024 15:00,18,13,2,0,3,normal
401,17-01-2024 16:00,60,14,19,16,11,normal
402,17-01-2024 17:00,54,26,10,15,3,normal
403,17-01-2024 18:00,56,28,9,6,13,normal
404,17-01-2024 19:00,64,57,1,1,5,normal
405,17-01-2024 20:00,38,18,20,0,0,normal
406,17-01-2024 21:00,78,32,35,3,8,normal
407,17-01-2024 22:00,136,101,16,9,10,high
408,17-01-2024 23:00,64,15,42,5,2,normal
409,18-01-2024 00:00,44,15,1,27,1,normal
410,18-01-2024 01:00,40,36,1,0,3,normal
411,18-01-2024 02:00,22,17,2,3,0,normal
412,18-01-2024 03:00,30,4,2,20,4,normal
413,18-01-2024 04:00,12,1,6,1,4,normal
414,18-01-2024 05:00,16,7,9,0,0,normal
415,18-01-2024 06:00,14,11,2,0,1,normal
416,18-01-2024 07:00,28,15,9,4,0,normal
417,18-01-2024 08:00,24,1,11,7,5,normal
418,18-01-2024 09:00,20,18,0,0,2,normal
419,18-01-2024 10:00,36,24,1,8,3,normal
420,18-01-2024 11:00,30,19,4,1,6,normal
421,18-01-2024 12:00,24,14,0,2,8,normal
422,18-01-2024 13:00,44,28,9,1,6,normal
423,18-01-2024 14:00,34,2,13,3,16,normal
424,18-01-2024 15:00,32,23,7,2,0,normal
425,18-01-2024 16:00,28,26,0,0,2,normal
426,18-01-2024 17:00,52,36,6,6,4,normal
427,18-01-2024 18:00,40,40,0,0,0,normal
428,18-01-2024 19:00,42,25,3,3,11,normal
429,18-01-2024 20:00,38,33,5,0,0,normal
430,18-01-2024 21:00,36,30,0,2,4,normal
431,18-01-2024 22:00,30,2,27,0,1,normal
432,18-01-2024 23:00,26,22,4,0,0,normal
433,19-01-2024 00:00,54,39,10,3,2,normal
434,19-01-2024 01:00,48,22,20,2,4,normal
435,19-01-2024 02:00,30,27,0,2,1,normal
436,19-01-2024 03:00,26,1,17,1,7,normal
437,19-01-2024 04:00,16,7,4,3,2,normal
438,19-01-2024 05:00,12,3,6,1,2,normal
439,19-01-2024 06:00,16,4,6,0,6,normal
440,19-01-2024 07:00,14,5,8,1,0,normal
441,19-01-2024 08:00,10,1,2,2,5,normal
442,19-01-2024 09:00,24,14,8,0,2,normal
443,19-01-2024 10:00,18,4,1,5,8,normal
444,19-01-2024 11:00,12,1,0,10,1,normal
445,19-01-2024 12:00,6,3,3,0,0,normal
446,19-01-2024 13:00,10,8,2,0,0,normal
447,19-01-2024 14:00,10,5,3,0,2,normal
448,19-01-2024 15:00,8,8,0,0,0,normal
449,19-01-2024 16:00,8,6,1,1,0,normal
450,19-01-2024 17:00,12,6,4,2,0,normal
451,19-01-2024 18:00,14,9,4,1,0,normal
452,19-01-2024 19:00,22,16,5,1,0,normal
453,19-01-2024 20:00,10,10,0,0,0,normal
454,19-01-2024 21:00,14,11,1,2,0,normal
455,19-01-2024 22:00,24,10,11,1,2,normal
456,19-01-2024 23:00,26,20,6,0,0,normal
457,20-01-2024 00:00,32,0,12,11,9,normal
458,20-01-2024 01:00,24,9,3,7,5,normal
459,20-01-2024 02:00,16,2,8,1,5,normal
460,20-01-2024 03:00,8,0,7,1,0,normal
461,20-01-2024 04:00,8,5,3,0,0,normal
462,20-01-2024 05:00,4,0,4,0,0,normal
463,20-01-2024 06:00,12,7,5,0,0,normal
464,20-01-2024 07:00,4,0,4,0,0,normal
465,20-01-2024 08:00,14,6,0,0,8,normal
466,20-01-2024 09:00,10,10,0,0,0,normal
467,20-01-2024 10:00,22,11,4,1,6,normal
468,20-01-2024 11:00,20,12,8,0,0,normal
469,20-01-2024 12:00,20,13,6,1,0,normal
470,20-01-2024 13:00,20,13,7,0,0,normal
471,20-01-2024 14:00,16,16,0,0,0,normal
472,20-01-2024 15:00,18,5,5,1,7,normal
473,20-01-2024 16:00,12,10,1,0,1,normal
474,20-01-2024 17:00,20,7,2,8,3,normal
475,20-01-2024 18:00,36,22,0,10,4,normal
476,20-01-2024 19:00,18,5,2,3,8,normal
477,20-01-2024 20:00,24,1,10,10,3,normal
478,20-01-2024 21:00,16,16,0,0,0,normal
479,20-01-2024 22:00,20,9,3,1,7,normal
480,20-01-2024 23:00,16,1,1,10,4,normal
481,21-01-2024 00:00,22,9,2,5,6,normal
482,21-01-2024 01:00,16,16,0,0,0,normal
483,21-01-2024 02:00,22,2,1,1,18,normal
484,21-01-2024 03:00,14,14,0,0,0,normal
485,21-01-2024 04:00,12,11,1,0,0,normal
486,21-01-2024 05:00,16,5,0,9,2,normal
487,21-01-2024 06:00,10,7,2,0,1,normal
488,21-01-2024 07:00,22,11,1,8,2,normal
489,21-01-2024 08:00,24,10,8,6,0,normal
490,21-01-2024 09:00,34,1,12,1,20,normal
491,21-01-2024 10:00,40,15,8,1,16,normal
492,21-01-2024 11:00,30,11,12,2,5,normal
493,21-01-2024 12:00,30,4,2,19,5,normal
494,21-01-2024 13:00,34,1,6,22,5,normal
495,21-01-2024 14:00,28,4,15,2,7,normal
496,21-01-2024 15:00,22,0,14,3,5,normal
497,21-01-2024 16:00,32,27,3,2,0,normal
498,21-01-2024 17:00,30,15,11,1,3,normal
499,21-01-2024 18:00,44,3,15,13,13,normal
500,21-01-2024 19:00,44,35,4,3,2,normal
501,21-01-2024 20:00,62,39,9,2,12,normal
502,21-01-2024 21:00,94,85,3,4,2,normal
503,21-01-2024 22:00,68,17,45,2,4,normal
504,21-01-2024 23:00,82,34,14,30,4,normal
505,22-01-2024 00:00,54,51,2,1,0,normal
506,22-01-2024 01:00,64,45,16,2,1,normal
507,22-01-2024 02:00,30,29,1,0,0,normal
508,22-01-2024 03:00,28,22,0,1,5,normal
509,22-01-2024 04:00,20,14,1,3,2,normal
510,22-01-2024 05:00,22,20,1,1,0,normal
511,22-01-2024 06:00,16,12,2,1,1,normal
512,22-01-2024 07:00,28,24,0,2,2,normal
513,22-01-2024 08:00,20,16,1,2,1,normal
514,22-01-2024 09:00,18,9,9,0,0,normal
515,22-01-2024 10:00,28,27,1,0,0,normal
516,22-01-2024 11:00,32,23,1,6,2,normal
517,22-01-2024 12:00,18,18,0,0,0,normal
518,22-01-2024 13:00,28,5,6,13,4,normal
519,22-01-2024 14:00,40,18,0,10,12,normal
520,22-01-2024 15:00,24,14,8,2,0,normal
521,22-01-2024 16:00,38,12,23,0,3,normal
522,22-01-2024 17:00,36,10,25,0,1,normal
523,22-01-2024 18:00,32,18,11,3,0,normal
524,22-01-2024 19:00,36,10,12,11,3,normal
525,22-01-2024 20:00,30,27,2,0,1,normal
526,22-01-2024 21:00,18,4,13,1,0,normal
527,22-01-2024 22:00,30,8,2,6,14,normal
528,22-01-2024 23:00,28,21,3,4,0,normal
529,23-01-2024 00:00,22,8,14,0,0,normal
530,23-01-2024 01:00,32,2,28,2,0,normal
531,23-01-2024 02:00,30,14,4,1,11,normal
532,23-01-2024 03:00,12,12,0,0,0,normal
533,23-01-2024 04:00,18,6,9,0,3,normal
534,23-01-2024 05:00,12,5,0,7,0,normal
535,23-01-2024 06:00,12,11,1,0,0,normal
